id,name,nationality,club
221363,D. van de Beek,Netherlands,MUN
226853,J. St. Juste,Netherlands,SLI
242380,Stephen Eustáquio,Canada,POR
243388,B. Sosa,Croatia,AJA
229891,J. Ryerson,Norway,DOR
213666,R. Loftus-Cheek,England,MIL
213917,Fábio Cardoso,Portugal,POR
232099,M. Grujić,Serbia,POR
232119,Ç. Söyüncü,Turkey,ATM
232223,K. Tsimikas,Greece,LIV
173521,Marcano,Spain,POR
202166,J. Draxler,Germany,PSG
204092,J. Blaswich,Germany,RBL
205069,Juan Bernat,Spain,SLB
208364,Clinton Mata,Angola,LYO
215330,J. Correa,Argentina,OLM
216065,M. Sportiello,Italy,MIL
216531,Paulinho,Portugal,SLI
259399,R. Højlund,Denmark,MUN
259307,M. Gusto,France,CHE
257876,N. Seiwald,Austria,RBL
260599,A. Varela,Argentina,POR
264652,B. Barcola,France,PSG
242530,N. Okafor,Switzerland,MIL
248793,M. Wieffer,Netherlands,FEY
251810,B. Brobbey,Netherlands,AJA
255069,Nico González,Spain,POR
245211,J. Teze,Netherlands,PSV
251616,David Carmo,Portugal,POR
251804,S. Dest,United States,PSV
252060,T. Pobega,Italy,MIL
255125,A. Ounahi,Morocco,OLM
242835,L. Balerdi,Argentina,OLM
252931,L. Ivanušec,Croatia,FEY
263829,Vitinha,Portugal,OLM
225863,O. Boscagli,France,PSV
238744,W. McKennie,United States,JUV
266872,F. Gatti,Italy,JUV
225263,D. Ćaleta-Car,Croatia,LYO
235353,I. Sarr,Senegal,OLM
243647,A. Bayındır,Turkey,MUN
252383,R. Zerrouki,Algeria,FEY
234826,Toni Martínez,Spain,POR
251528,Z. Sanusi,Nigeria,POR
213418,C. Akpom,England,AJA
232097,A. Harit,Morocco,OLM
186190,P. van Aanholt,Netherlands,PSV
202371,T. Meunier,Belgium,DOR
203483,D. Klaassen,Netherlands,INT
206058,M. De Sciglio,Italy,JUV
207791,Y. Poulsen,Denmark,RBL
216466,Wendell,Brazil,POR
226662,B. Nieuwkoop,Netherlands,FEY
243686,Chiquinho,Portugal,SLB
268438,Alejandro Garnacho,Argentina,MUN
268802,F. Miretti,Italy,JUV
270673,W. Zaïre-Emery,France,PSG
251570,R. Cherki,France,LYO
265450,J. Bakayoko,Belgium,PSV
246340,M. Mudryk,Ukraine,CHE
259849,Gabriel Veron,Brazil,POR
260592,B. Šeško,Slovenia,RBL
270531,O. Diomande,Côte d'Ivoire,SLI
246070,Iván Jaime,Spain,POR
255009,K. Taylor,Netherlands,AJA
256008,Morato,Brazil,SLB
256268,A. Broja,Albania,CHE
258826,D. Rensch,Netherlands,AJA
257289,H. Ekitike,France,PSG
236988,E. Nketiah,England,ARS
241509,Mauro Júnior,Brazil,PSV
241651,V. Gyökeres,Sweden,SLI
258208,O. Lingr,Czech Republic,FEY
258390,I. Grbić,Croatia,ATM
235149,J. Schouten,Netherlands,PSV
211320,D. Rugani,Italy,JUV
237960,Mama Baldé,Guinea Bissau,LYO
162328,R. Pasveer,Netherlands,AJA
169588,J. Evans,Northern Ireland,MUN
203551,A. Florenzi,Italy,MIL
210007,André Ramalho,Brazil,PSV
211454,M. Elneny,Egypt,ARS
212213,Ricardo Esgaio,Portugal,SLI
234777,Z. Steffen,United States,MCI
256725,Fábio Carvalho,Portugal,RBL
272449,Pablo Barrios,Spain,ATM
241736,Y. Bisseck,Germany,INT
254088,A. Diallo,Côte d'Ivoire,MUN
261050,Francisco Conceição,Portugal,POR
262859,L. Colwill,England,CHE
264699,K. Asllani,Albania,INT
268868,Tiago Gouveia,Portugal,SLB
241811,Sergio Gómez,Spain,MCI
248465,I. Maatsen,Netherlands,CHE
251806,Q. Timber,Netherlands,FEY
253177,Y. Musah,United States,MIL
254551,G. Mikautadze,Georgia,AJA
256853,M. Tillman,United States,PSV
258966,A. Cambiaso,Italy,JUV
265693,J. Kiwior,Poland,ARS
247497,A. Bella Kotchap,Germany,PSV
231448,R. Nelson,England,ARS
241496,T. Weah,United States,JUV
243952,A. Lunin,Ukraine,MAD
252143,Daniel Bragança,Portugal,SLI
261188,I. Ndiaye,Senegal,OLM
269626,Đ. Petrović,Serbia,CHE
273990,Jeffinho,Brazil,LYO
244797,P. Musa,Croatia,SLB
235454,M. Sarr,France,CHE
241171,A. Obispo,Netherlands,PSV
257204,S. Diomandé,Côte d'Ivoire,LYO
211101,Rubén Blanco,Spain,OLM
235663,G. Til,Netherlands,PSV
233493,J. Sánchez,Mexico,POR
206652,Sergio Rico,Spain,PSG
186569,S. Ulreich,Germany,BAY
204341,Luís Neto,Portugal,SLI
241050,A. Meyer,Germany,DOR
263620,R. Lavia,Belgium,CHE
271574,R. Lewis,England,MCI
257084,L. Ugochukwu,France,CHE
243627,Y. Adli,France,MIL
240913,C. Kelleher,Republic of Ireland,LIV
246139,Iñaki Peña,Spain,FCB
258861,João Victor,Brazil,SLB
258619,J. Lepenant,France,LYO
267594,D. Jurásek,Czech Republic,SLB
236593,C. Stengs,Netherlands,FEY
252162,A. Ueda,Japan,FEY
262414,André Franco,Portugal,POR
224949,J. Dilrosun,Netherlands,FEY
228279,J. Drommel,Netherlands,PSV
198513,Cláudio Ramos,Portugal,POR
201118,Cédric,Portugal,ARS
201510,L. Kurzawa,France,PSG
212244,C. Lenz,Germany,RBL
215871,A. Jahanbakhsh,Iran,FEY
217821,Henrique,Brazil,LYO
230717,T. Kadewere,Zimbabwe,LYO
268763,E. Nuamah,Ghana,LYO
271975,Stefan Bajcetic,Spain,LIV
266253,Fresneda,Spain,SLI
255882,F. Díaz,Uruguay,LIV
255874,F. Pereira,Uruguay,LIV
271121,Q. Hartman,Netherlands,FEY
277823,D. Peretz,Israel,BAY
270141,F. Israel,Uruguay,SLI
259233,I. Moriba,Guinea,RBL
246947,P. Akouokou,Côte d'Ivoire,LYO
251288,J. Medić,Croatia,AJA
260020,Y. Vertessen,Belgium,PSV
223686,T. Wellenreuther,Germany,FEY
225782,A. Maitland-Niles,England,LYO
253259,A. Medina,Uruguay,LIV
227819,Samuel Portugal,Brazil,POR
163264,T. Heaton,England,MUN
189342,C. Pinsoglio,Italy,JUV
194911,Adrián,Spain,LIV
237841,M. Murillo,Panama,OLM
266032,J. Bynoe-Gittens,England,DOR
268421,M. Tel,France,BAY
272379,S. Iling-Junior,England,JUV
251223,R. Pepi,United States,PSV
268312,S. Kumbedi,France,LYO
247467,G. Ávila,Argentina,AJA
253283,F. Pellistri,Uruguay,MUN
262262,J. Gorter,Netherlands,AJA
239631,D. Loader,England,POR
246683,L. Agoumé,France,INT
248820,Mateu Morey,Spain,DOR
259480,I. Saibari,Morocco,PSV
140293,A. Mirante,Italy,MIL
199715,Vitolo,Spain,ATM
204472,B. Sarr,Senegal,BAY
277426,Carlos Forbs,Portugal,AJA
272596,B. Tahirović,Bosnia and Herzegovina,AJA
266096,Tomás Araújo,Portugal,SLB
